                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.5924,                 1.5008,                 1.8412,                0.56218,                0.46265,                0.50301,                0.26197,                 1.7989,                 1.8037,                 1.8886,               0.000416,               0.000416,               0.000416
                     51,                 1.4789,                 1.4581,                 1.7468,                0.61358,                0.44362,                0.50803,                0.25669,                 1.8873,                 1.9007,                 1.9266,               0.000383,               0.000383,               0.000383
                     52,                 1.4694,                 1.4657,                 1.7486,                0.58796,                 0.4509,                0.49694,                0.25809,                 1.8461,                 1.8132,                 1.9169,                0.00035,                0.00035,                0.00035
                     53,                 1.4242,                 1.3838,                 1.7141,                0.60956,                0.46628,                0.51807,                0.26621,                 1.8331,                 1.7768,                 1.9014,               0.000317,               0.000317,               0.000317
                     54,                 1.4268,                 1.3544,                 1.7152,                0.61641,                0.45516,                0.51508,                0.26367,                 1.8668,                 1.8338,                 1.9261,               0.000284,               0.000284,               0.000284
                     55,                 1.4215,                 1.3876,                 1.7258,                0.58314,                0.48555,                0.53415,                0.27558,                 1.8123,                 1.7697,                  1.885,               0.000251,               0.000251,               0.000251
                     56,                  1.407,                  1.318,                 1.6805,                0.62638,                0.45869,                0.52669,                0.26763,                 1.8289,                  1.773,                 1.9007,               0.000218,               0.000218,               0.000218
                     57,                 1.3972,                  1.315,                 1.6898,                 0.6345,                0.48362,                0.53525,                0.27857,                 1.8119,                 1.7208,                 1.8684,               0.000185,               0.000185,               0.000185
                     58,                 1.3982,                 1.3154,                 1.6861,                0.62975,                0.45087,                0.52019,                0.27123,                 1.8162,                 1.7411,                 1.8797,               0.000152,               0.000152,               0.000152
                     59,                 1.3734,                 1.2862,                 1.6602,                0.59005,                0.49711,                0.52627,                0.27769,                 1.8046,                 1.7181,                 1.8634,               0.000119,               0.000119,               0.000119
                     60,                  1.368,                 1.2662,                 1.6388,                0.60155,                0.47206,                0.53381,                0.27871,                 1.8122,                 1.7243,                 1.8698,                8.6e-05,                8.6e-05,                8.6e-05
